what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1390968826348
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1390968826348
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1390968826349
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1390968826349
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1390968826349
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1390968826349
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1390968826350
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1390968826351
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1390968826351
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1390968826351
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1390968826352
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1390968826352
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1390968826353
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1390968826353
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1390968826353
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1390968826354
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1390968826355
started,bundle,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.adt",1390968826355
started,bundle,com.android.ide.eclipse.base,22.3.0.v201310242005-887826,"com.android.ide.eclipse.base",1390968826355
os,sysinfo,,,"win32",1390968826357
arch,sysinfo,,,"x86_64",1390968826357
ws,sysinfo,,,"win32",1390968826357
locale,sysinfo,,,"en_US",1390968826357
processors,sysinfo,,,"8",1390968826357
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1390968826357
java.runtime.version,sysinfo,,,"1.7.0_09-b05",1390968826357
java.specification.name,sysinfo,,,"Java Platform API Specification",1390968826357
java.specification.vendor,sysinfo,,,"Oracle Corporation",1390968826357
java.specification.version,sysinfo,,,"1.7",1390968826357
java.vendor,sysinfo,,,"Oracle Corporation",1390968826357
java.version,sysinfo,,,"1.7.0_09",1390968826357
java.vm.info,sysinfo,,,"mixed mode",1390968826357
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1390968826357
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1390968826357
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1390968826357
java.vm.specification.version,sysinfo,,,"1.7",1390968826357
java.vm.vendor,sysinfo,,,"Oracle Corporation",1390968826357
java.vm.version,sysinfo,,,"23.5-b02",1390968826357
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1390968831414
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1390968831417
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1390968831729
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1390968831730
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1390968831733
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1390968831733
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1390968831746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390968834925
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1390968836853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390968838869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1390968838877
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1390968846851
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390968846903
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390968847060
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1390968847822
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390968868859
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390968869154
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390968869230
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390968881492
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390968881695
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390968881762
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390968886285
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390968886286
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390968887608
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390968887608
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390968888787
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390968888986
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390968889049
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1390968889105
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390968895671
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390968895671
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390968896823
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390968897087
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390968897150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390968901797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390968938275
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390968947490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390968948667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390968948935
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390968952365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1390968968157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1390968971907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390968979402
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1390968979809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390968982262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390968982677
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390968990813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390968993461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969001787
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390969001875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969001897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969004865
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390969004921
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390969004921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969006269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969031826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969031862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969033450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969033477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969035843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969035851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969035881
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390969044649
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390969044793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969063307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969080301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969091121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969097005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969100711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969102433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969103983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969108775
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390969109577
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1390969110209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969111770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969114723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1390969114728
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390969117671
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390969117742
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1390969138090
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1390969138121
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1390969138206
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1390969138226
started,bundle,org.eclipse.dltk.ruby.core,3.0.0.v20110423,"org.eclipse.dltk.ruby.core",1390969138242
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1390969138243
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1390969138266
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1390969138326
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1390969138333
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1390969138360
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1390969138364
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1390969138371
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1390969138375
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1390969138376
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1390969138398
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1390969138401
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1390969138485
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1390969138485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969138525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969145370
started,bundle,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms",1390969145404
started,bundle,com.android.ide.eclipse.traceview,22.3.0.v201310242005-887826,"com.android.ide.eclipse.traceview",1390969145452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969149082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969152127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969160525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969165782
opened,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1390969165834
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1390969165863
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1390969188178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969189204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969194083
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390969194102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969249897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969251513
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390969251669
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1390969251908
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1390969251909
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1390969251909
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1390969251910
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1390969251910
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1390969251911
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1390969251912
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1390969251912
